Year,Division,Position,Name
1929,Welterweights,2,Young Corbett III
1929,Welterweights,3,Gorilla Jones
1929,Welterweights,4,Tommy Freeman
1929,Welterweights,5,Vince Dundee
1929,Welterweights,6,Young Jack Thompson
1929,Welterweights,7,Jack Hood
1929,Welterweights,8,Canada Lee
1929,Welterweights,9,Sgt. Sammy Baker
1929,Welterweights,10,My Sullivan
1929,Junior Welterweights,1,Baby Joe Gans
1929,Junior Welterweights,2,Ruby Goldstein
1929,Junior Welterweights,3,Manuel Quintero
1929,Junior Welterweights,4,Freddy Fitzgerald
1929,Junior Welterweights,5,Stanislaus Loayza
1929,Junior Welterweights,6,Eddie Murdock
1929,Junior Welterweights,7,Harry (Kid) Brown
1929,Junior Welterweights,8,Jackie Brady
1929,Junior Welterweights,9,Joe Trippe
1929,Junior Welterweights,10,Joe Glick
1929,Lightweights,1,Tony Canzoneri
1929,Lightweights,2,Jackie (Kid) Berg
1929,Lightweights,3,Louis (Kid) Kaplan
1929,Lightweights,4,Billy Wallace
1929,Lightweights,5,Johnny Jadick
1929,Lightweights,6,King Tut
1929,Lightweights,7,Al Singer
1929,Lightweights,8,Bruce Flowers
1929,Lightweights,9,Andy Callahan
1929,Lightweights,10,Tommy Grogan
1929,Junior Lightweights,1,Eddie Mack
1929,Junior Lightweights,2,Sammy Fuller
1929,Junior Lightweights,3,Tod Morgan
1929,Junior Lightweights,4,Cecil Payne
1929,Junior Lightweights,5,Pete Nebo
1929,Junior Lightweights,6,Sammy Dorfman
1929,Junior Lightweights,7,Johnny Farr
1929,Junior Lightweights,8,Mickey Cohen
1929,Junior Lightweights,9,Al Ridgeway
1929,Junior Lightweights,10,Roger Bernard
1929,Featherweights,1,Kid Chocolate
1929,Featherweights,2,Earl Mastro
1929,Featherweights,3,Freddie Miller
1929,Featherweights,4,Lew Massey
1929,Featherweights,5,Charles (Bud) Taylor
1929,Featherweights,6,Johnny Datto
1929,Featherweights,7,Eddie Shea
1929,Featherweights,8,Fidel LaBarba
1929,Featherweights,9,Nel Tarleton
1929,Featherweights,10,Andy Martin
1929,Bantamweights,1,Bushy Graham
1929,Bantamweights,2,Panama Al Brown
1929,Bantamweights,3,Kid Francis
1929,Bantamweights,4,Tommy Paul
1929,Bantamweights,5,Teddy Baldock
1929,Bantamweights,6,Pete Sanstol
1929,Bantamweights,7,Vidal Gregorio
1929,Bantamweights,8,Archie Bell
1929,Bantamweights,9,Emile (Spider) Pladner
1929,Bantamweights,10,Joey Scalfaro
1929,Flyweights,1,Black Bill
1929,Flyweights,2,Midget Wolgast
1929,Flyweights,3,Wee Willie Davies
1929,Flyweights,4,Frankie Genaro
1929,Flyweights,5,Willie LaMorte
1929,Flyweights,6,Steve Rocco
1929,Flyweights,7,Phil Tobias
1929,Flyweights,8,Pablo Dano
1929,Flyweights,9,Johnny McCoy
1929,Flyweights,10,Ruby Bradley
1930,Heavyweights,1,Jack Sharkey
1930,Heavyweights,2,Young Stribling
1930,Heavyweights,3,Tuffy Griffiths
1930,Heavyweights,4,Primo Carnera
1930,Heavyweights,5,George Godfrey
1930,Heavyweights,6,Johnny Risko
1930,Heavyweights,7,Ernie Schaaf
1930,Heavyweights,8,Tommy Loughran
1930,Heavyweights,9,Larry Johnson
1930,Heavyweights,10,Max Baer
1930,Light Heavyweights,1,Jimmy Slattery
1930,Light Heavyweights,2,Lou Scozza
1930,Light Heavyweights,3,Tait Littman
1930,Light Heavyweights,4,Pete Latzo
1930,Light Heavyweights,5,Bob Olin
1930,Light Heavyweights,6,Joe Banovic
1930,Light Heavyweights,7,George Courtney
1930,Light Heavyweights,8,Fred Lenhart
1930,Light Heavyweights,9,Al Gainer
1930,Light Heavyweights,10,George Nichols
1930,Middleweights,1,Len Harvey
1930,Middleweights,2,Dave Shade
1930,Middleweights,3,Harry Smith
1930,Middleweights,4,Jack Hood
1930,Middleweights,5,Angel Clivilles
1930,Middleweights,6,Vince Dundee
1930,Middleweights,7,Vittorio Livan
1930,Middleweights,8,Rene DeVos
1930,Middleweights,9,Ben Jeby
1930,Middleweights,10,Gorilla Jones
1930,Welterweights,1,Young Corbett III
1930,Welterweights,2,Jackie Fields
1930,Welterweights,3,Jimmy McLarnin
1930,Welterweights,4,Young Jack Thompson
1930,Welterweights,5,Johnny Indrisano
1930,Welterweights,6,Baby Joe Gans
1930,Welterweights,7,King Tut
1930,Welterweights,8,Jackie Brady
1930,Welterweights,9,Paulie Walker
1930,Welterweights,10,Sammy Jackson
1930,Junior Welterweights,1,Manuel Quintero
1930,Junior Welterweights,2,Billy Townsend
1930,Junior Welterweights,3,Tommy Grogan
1930,Junior Welterweights,4,Joey Medill
1930,Junior Welterweights,5,Stanislaus Loayza
1930,Junior Welterweights,6,Ralph Lenny
1930,Junior Welterweights,7,Solly Schwartz
1930,Junior Welterweights,8,Joe Glick
1930,Junior Welterweights,9,Jackie Shupack
1930,Junior Welterweights,10,Johnny Lamar
1930,Lightweights,1,Jackie (Kid) Berg
1930,Lightweights,2,Billy Petrolle
