Year,Division,Position,Name
1960,Featherweights,9,Terry Spinks
1960,Featherweights,10,Danny Valdez
1960,Bantamweights,1,Eder Jofre
1960,Bantamweights,2,Alphonse Halimi
1960,Bantamweights,3,Piero Rollo
1960,Bantamweights,4,Freddie Gilroy
1960,Bantamweights,5,Kenji Yonekura
1960,Bantamweights,6,Jose Medel
1960,Bantamweights,7,Eloy Sanchez
1960,Bantamweights,8,Ignacio Pina
1960,Bantamweights,9,Jose (Toluco) Lopez
1960,Bantamweights,10,Leo Espinosa
1960,Flyweights,1,Mimoun Ben Ali
1960,Flyweights,2,Pascual Perez
1960,Flyweights,3,Sadao Yaoita
1960,Flyweights,4,Johnny Caldwell
1960,Flyweights,5,Dommy Ursua
1960,Flyweights,6,Edmundo Esparza
1960,Flyweights,7,Ramon Arias
1960,Flyweights,8,Mitsunori Seki
1960,Flyweights,9,Leo Zulueta
1960,Flyweights,10,Risto Luukkonen
1961,Heavyweights,1,Sonny Liston
1961,Heavyweights,2,Eddie Machen
1961,Heavyweights,3,Zora Folley
1961,Heavyweights,4,Alejandro Lavorante
1961,Heavyweights,5,Robert Cleroux
1961,Heavyweights,6,Ingemar Johansson
1961,Heavyweights,7,Cleveland Williams
1961,Heavyweights,8,Henry Cooper
1961,Heavyweights,9,Cassius Clay
1961,Heavyweights,10,George Logan
1961,Light Heavyweights,1,Harold Johnson
1961,Light Heavyweights,2,Giulio Rinaldi
1961,Light Heavyweights,3,Doug Jones
1961,Light Heavyweights,4,Eddie Cotton
1961,Light Heavyweights,5,Erich Schoppner
1961,Light Heavyweights,6,Chic Calderwood
1961,Light Heavyweights,7,Gustav Scholz
1961,Light Heavyweights,8,Mauro Mina
1961,Light Heavyweights,9,Von Clay
1961,Light Heavyweights,10,Willie Pastrano
1961,Middleweights,1,Gene Fullmer
1961,Middleweights,2,Dick Tiger
1961,Middleweights,3,Paul Pender
1961,Middleweights,4,Sugar Ray Robinson
1961,Middleweights,5,Henry Hank
1961,Middleweights,6,Florentino Fernandez
1961,Middleweights,7,Yama Bahama
1961,Middleweights,8,Joey Giardello
1961,Middleweights,9,Denny Moyer
1961,Middleweights,10,Jesse Smith
1961,Welterweights,1,Emile Griffith
1961,Welterweights,2,Ralph Dupas
1961,Welterweights,3,Jorge Jose Fernandez
1961,Welterweights,4,Luis Manuel Rodriguez
1961,Welterweights,5,Duilio Loi
1961,Welterweights,6,Luis Federico Thompson
1961,Welterweights,7,Brian Curvis
1961,Welterweights,8,Teddy (Farmer) Wright
1961,Welterweights,9,Luis Folledo
1961,Welterweights,10,Curtis Cokes
1961,Lightweights,1,Carlos Ortiz
1961,Lightweights,2,Dave Charnley
1961,Lightweights,3,Flash Elorde
1961,Lightweights,4,Eddie Perkins
1961,Lightweights,5,Douglas Vaillant
1961,Lightweights,6,Kenny Lane
1961,Lightweights,7,Carlos Hernandez
1961,Lightweights,8,Paolo Rosi
1961,Lightweights,9,Nursery Kid
1961,Lightweights,10,Len Matthews
1961,Featherweights,1,Rafiu King
1961,Featherweights,2,Howard Winstone
1961,Featherweights,3,Sugar Ramos
1961,Featherweights,4,Kazuo Takayama
1961,Featherweights,5,Sergio Caprari
1961,Featherweights,6,Gracieux Lamperti
1961,Featherweights,7,Danny Valdez
1961,Featherweights,8,Jet Bally
1961,Featherweights,9,Lalo Guerrero
1961,Featherweights,10,Jose Luis Cruz
1961,Bantamweights,1,Eder Jofre
1961,Bantamweights,2,Jose Medel
1961,Bantamweights,3,Johnny Caldwell
1961,Bantamweights,4,Pierre (Cosse) Cossemyns
1961,Bantamweights,5,Alphonse Halimi
1961,Bantamweights,6,Piero Rollo
1961,Bantamweights,7,Leo Espinosa
1961,Bantamweights,8,Ismael Laguna
1961,Bantamweights,9,Freddie Gilroy
1961,Bantamweights,10,Herman Marques
1961,Flyweights,1,Ramon Arias
1961,Flyweights,2,Mimoun Ben Ali
1961,Flyweights,3,Sadao Yaoita
1961,Flyweights,4,Salvatore Burruni
1961,Flyweights,5,Pascual Perez
1961,Flyweights,6,Chartchai Chionoi
1961,Flyweights,7,Kyo Noguchi
1961,Flyweights,8,Jean Guerard
1961,Flyweights,9,Jesus (Chucho) Hernandez
1961,Flyweights,10,Horacio Enrique Accavallo
1962,Heavyweights,1,Floyd Patterson
1962,Heavyweights,2,Cassius Clay
1962,Heavyweights,3,Doug Jones
1962,Heavyweights,4,Ingemar Johansson
1962,Heavyweights,5,Zora Folley
1962,Heavyweights,6,Cleveland Williams
1962,Heavyweights,7,Robert Cleroux
1962,Heavyweights,8,Billy Daniels
1962,Heavyweights,9,Archie Moore
1962,Heavyweights,10,Henry Cooper
1962,Light Heavyweights,1,Mauro Mina
1962,Light Heavyweights,2,Giulio Rinaldi
1962,Light Heavyweights,3,Eddie Cotton
1962,Light Heavyweights,4,Gustav Scholz
1962,Light Heavyweights,5,Carl (Bobo) Olson
1962,Light Heavyweights,6,Willie Pastrano
1962,Light Heavyweights,7,Erich Schoppner
1962,Light Heavyweights,8,Henry Hank
1962,Light Heavyweights,9,Chic Calderwood
1962,Light Heavyweights,10,Allen Thomas
1962,Middleweights,1,Gene Fullmer
1962,Middleweights,2,Terry Downes
1962,Middleweights,3,George Benton
1962,Middleweights,4,Joey Giardello
1962,Middleweights,5,Luis Folledo
1962,Middleweights,6,Denny Moyer
1962,Middleweights,7,Laszlo Papp
1962,Middleweights,8,Joey Archer
1962,Middleweights,9,Joey Giambra
1962,Middleweights,10,Bruno Visintin
1962,Welterweights,1,Luis Manuel Rodriguez
1962,Welterweights,2,Brian Curvis
1962,Welterweights,3,Ralph Dupas
1962,Welterweights,4,Teddy (Farmer) Wright
1962,Welterweights,5,Jorge Jose Fernandez
1962,Welterweights,6,Garland (Rip) Randall
1962,Welterweights,7,Luis Federico Thompson
1962,Welterweights,8,Curtis Cokes
1962,Welterweights,9,Bob Fosmire
1962,Welterweights,10,Isaac Logart
1962,Junior Welterweights,1,Eddie Perkins
1962,Junior Welterweights,2,Kenny Lane
1962,Junior Welterweights,3,Luis Molina
1962,Junior Welterweights,4,Battling Torres
1962,Junior Welterweights,5,Jose Stable
1962,Junior Welterweights,6,Angel (Robinson) Garcia
1962,Junior Welterweights,7,Manuel Sixto Alvarez
1962,Junior Welterweights,8,Aissa Hashas
1962,Junior Welterweights,9,Benny Medina
1962,Junior Welterweights,10,Jose Napoles
1962,Lightweights,1,Bunny Grant
1962,Lightweights,2,Carlos Hernandez
1962,Lightweights,3,Douglas Vaillant
1962,Lightweights,4,Joe Brown
1962,Lightweights,5,Alfredo Urbina
1962,Lightweights,6,Paul Armstead
1962,Lightweights,7,Arthur Persley
1962,Lightweights,8,Dave Charnley
1962,Lightweights,9,Teruo Kosaka
1962,Lightweights,10,Sebastiao Nascimento
1962,Junior Lightweights,1,Raimondo Nobile
1962,Junior Lightweights,2,Auburn Copeland
1962,Junior Lightweights,3,Love Allotey
1962,Junior Lightweights,4,Jose Luis Cruz
1962,Junior Lightweights,5,Johnny Bizzarro
1962,Junior Lightweights,6,Yukio Katsumata
1962,Junior Lightweights,7,Harold Gomes
1962,Junior Lightweights,8,Oscar Reyes
1962,Junior Lightweights,9,Vicente Milan Derado
1962,Junior Lightweights,10,Mel Middleton
1962,Featherweights,1,Sugar Ramos
1962,Featherweights,2,Rafiu King
1962,Featherweights,3,Kazuo Takayama
1962,Featherweights,4,Jet Bally
1962,Featherweights,5,Howard Winstone
1962,Featherweights,6,Mitsunori Seki
1962,Featherweights,7,Danny Valdez
1962,Featherweights,8,Don Johnson
1962,Featherweights,9,Alberto Serti
1962,Featherweights,10,Billy Calvert
1962,Bantamweights,1,Ismael Laguna
1962,Bantamweights,2,Piero Rollo
1962,Bantamweights,3,Alphonse Halimi
1962,Bantamweights,4,Jose Medel
1962,Bantamweights,5,Katsutoshi Aoki
1962,Bantamweights,6,Pierre (Cosse) Cossemyns
1962,Bantamweights,7,Johnny Caldwell
1962,Bantamweights,8,Freddie Gilroy
1962,Bantamweights,9,Jorge (Baby) Salazar
1962,Bantamweights,10,Edmundo Esparza
1962,Flyweights,1,Pone Kingpetch
1962,Flyweights,2,Salvatore Burruni
1962,Flyweights,3,Bernardo Caraballo
1962,Flyweights,4,Ramon Arias
1962,Flyweights,5,Pascual Perez
1962,Flyweights,6,Hiroyuki Ebihara
1962,Flyweights,7,Horacio Enrique Accavallo
1962,Flyweights,8,Mimoun Ben Ali
1962,Flyweights,9,Seisaku Saito
1962,Flyweights,10,Kyo Noguchi
1963,Heavyweights,1,Cassius Clay
1963,Heavyweights,2,Doug Jones
1963,Heavyweights,3,Ernie Terrell
1963,Heavyweights,4,Cleveland Williams
1963,Heavyweights,5,Zora Folley
1963,Heavyweights,6,Eddie Machen
1963,Heavyweights,7,Floyd Patterson
1963,Heavyweights,8,Karl Mildenberger
1963,Heavyweights,9,George Chuvalo
1963,Heavyweights,10,Brian London
1963,Light Heavyweights,1,Eddie Cotton
1963,Light Heavyweights,2,Harold Johnson
1963,Light Heavyweights,3,Giulio Rinaldi
1963,Light Heavyweights,4,Mauro Mina
1963,Light Heavyweights,5,Gregorio Manuel Peralta
1963,Light Heavyweights,6,Carl (Bobo) Olson
1963,Light Heavyweights,7,Henry Hank
1963,Light Heavyweights,8,Wayne Thornton
1963,Light Heavyweights,9,Terry Downes
1963,Light Heavyweights,10,Gustav Scholz
1963,Middleweights,1,Dick Tiger
1963,Middleweights,2,Joey Archer
1963,Middleweights,3,Rubin Carter
1963,Middleweights,4,Laszlo Papp
1963,Middleweights,5,Gene Fullmer
1963,Middleweights,6,Sandro Mazzinghi
1963,Middleweights,7,Nino Benvenuti
1963,Middleweights,8,Luis Folledo
1963,Middleweights,9,Jose Torres
1963,Middleweights,10,Jose Monon Gonzalez
1963,Welterweights,1,Luis Manuel Rodriguez
1963,Welterweights,2,Jose Stable
1963,Welterweights,3,Brian Curvis
1963,Welterweights,4,Ralph Dupas
1963,Welterweights,5,Garland (Rip) Randall
1963,Welterweights,6,Luis Federico Thompson
1963,Welterweights,7,Curtis Cokes
1963,Welterweights,8,Gaspar Ortega
1963,Welterweights,9,Dick Turner
1963,Welterweights,10,Stan Harrington
1963,Junior Welterweights,1,Luis Molina
1963,Junior Welterweights,2,Angel (Robinson) Garcia
1963,Junior Welterweights,3,Roberto Cruz
1963,Junior Welterweights,4,Jose Napoles
1963,Junior Welterweights,5,Aissa Hashas
1963,Junior Welterweights,6,Battling Torres
1963,Junior Welterweights,7,Bobby Scanlon
1963,Junior Welterweights,8,Rodolfo Marshall
1963,Junior Welterweights,9,Mario Rositto
1963,Junior Welterweights,10,Enoch Nhlapo
1963,Lightweights,1,Kenny Lane
1963,Lightweights,2,Carlos Hernandez
1963,Lightweights,3,Alfredo Urbina
1963,Lightweights,4,Dave Charnley
1963,Lightweights,5,Bunny Grant
1963,Lightweights,6,Paul Armstead
1963,Lightweights,7,Teruo Kosaka
1963,Lightweights,8,Nicolino Locche
1963,Lightweights,9,Douglas Vaillant
1963,Lightweights,10,Sandro Lopopolo
1963,Junior Lightweights,1,Johnny Bizzarro
1963,Junior Lightweights,2,Love Allotey
1963,Junior Lightweights,3,Vicente Milan Derado
1963,Junior Lightweights,4,Jose Luis Cruz
1963,Junior Lightweights,5,Auburn Copeland
1963,Junior Lightweights,6,Yukio Katsumata
1963,Junior Lightweights,7,Kazuo Takayama
1963,Junior Lightweights,8,Young Terror
1963,Junior Lightweights,9,Ray Adigun
1963,Junior Lightweights,10,Mel Middleton
1963,Featherweights,1,Mitsunori Seki
1963,Featherweights,2,Ismael Laguna
1963,Featherweights,3,Howard Winstone
1963,Featherweights,4,Rafiu King
1963,Featherweights,5,Don Johnson
1963,Featherweights,6,Danny Valdez
1963,Featherweights,7,Floyd Robertson
1963,Featherweights,8,Willy Quatuor
1963,Featherweights,9,Antonio Herrera
1963,Featherweights,10,Billy Calvert
1963,Bantamweights,1,Jose Medel
1963,Bantamweights,2,Fighting Harada
1963,Bantamweights,3,Alphonse Halimi
1963,Bantamweights,4,Ronnie Jones
1963,Bantamweights,5,Piero Rollo
1963,Bantamweights,6,Jesus Pimentel
1963,Bantamweights,7,Manny Barrios
1963,Bantamweights,8,Mimoun Ben Ali
1963,Bantamweights,9,Risto Luukkonen
1963,Bantamweights,10,Ray Asis
1963,Flyweights,1,Salvatore Burruni
1963,Flyweights,2,Bernardo Caraballo
1963,Flyweights,3,Horacio Enrique Accavallo
1963,Flyweights,4,Pone Kingpetch
1963,Flyweights,5,Alacran Efren Torres
1963,Flyweights,6,Leo Zulueta
1963,Flyweights,7,Walter McGowan
1963,Flyweights,8,Tsuyoshi Nakamura
1963,Flyweights,9,Pascual Perez
1963,Flyweights,10,Raton Mojica
1964,Heavyweights,1,Sonny Liston
1964,Heavyweights,2,Floyd Patterson
1964,Heavyweights,3,Ernie Terrell
1964,Heavyweights,4,Cleveland Williams
1964,Heavyweights,5,George Chuvalo
1964,Heavyweights,6,Zora Folley
1964,Heavyweights,7,Karl Mildenberger
1964,Heavyweights,8,Roger Rischer
1964,Heavyweights,9,Eddie Machen
1964,Heavyweights,10,Doug Jones
1964,Light Heavyweights,1,Gregorio Manuel Peralta
1964,Light Heavyweights,2,Harold Johnson
1964,Light Heavyweights,3,Eddie Cotton
1964,Light Heavyweights,4,Mauro Mina
1964,Light Heavyweights,5,Wayne Thornton
1964,Light Heavyweights,6,Jose Torres
1964,Light Heavyweights,7,Gustav Scholz
1964,Light Heavyweights,8,Terry Downes
1964,Light Heavyweights,9,Carl (Bobo) Olson
1964,Light Heavyweights,10,Johnny Persol
1964,Middleweights,1,Joey Archer
1964,Middleweights,2,Dick Tiger
1964,Middleweights,3,Rubin Carter
1964,Middleweights,4,Laszlo Papp
1964,Middleweights,5,Sandro Mazzinghi
1964,Middleweights,6,Nino Benvenuti
1964,Middleweights,7,Hurricane Kid
1964,Middleweights,8,Luis Folledo
1964,Middleweights,9,Gomeo Brennan
1964,Middleweights,10,Mick Leahy
1964,Welterweights,1,Luis Manuel Rodriguez
1964,Welterweights,2,Jose Stable
1964,Welterweights,3,Brian Curvis
1964,Welterweights,4,Manuel Gonzalez
1964,Welterweights,5,Willie Ludick
1964,Welterweights,6,Stanley Hayward
1964,Welterweights,7,Fortunato Manca
1964,Welterweights,8,Gabe Terronez
1964,Welterweights,9,Gaspar Ortega
1964,Welterweights,10,Jean Josselin
1964,Junior Welterweights,1,Jose Napoles
1964,Junior Welterweights,2,Piero Brandi
1964,Junior Welterweights,3,Sandro Lopopolo
1964,Junior Welterweights,4,Rodolfo Marshall
1964,Junior Welterweights,5,Luis Molina
1964,Junior Welterweights,6,Johnny DePeiza
1964,Junior Welterweights,7,Olli Maeki
1964,Junior Welterweights,8,Valerio Nunez
1964,Junior Welterweights,9,Douglas Vaillant
1964,Junior Welterweights,10,Giordano Campari
1964,Lightweights,1,Dave Charnley
1964,Lightweights,2,Carlos Hernandez
1964,Lightweights,3,Bunny Grant
1964,Lightweights,4,Angel (Robinson) Garcia
1964,Lightweights,5,Nicolino Locche
1964,Lightweights,6,Paul Armstead
1964,Lightweights,7,Kenny Lane
1964,Lightweights,8,Frankie Narvaez
1964,Lightweights,9,Franco Brondi
1964,Lightweights,10,Alfredo Urbina
1964,Junior Lightweights,1,Johnny Bizzarro
1964,Junior Lightweights,2,Willy Quatuor
1964,Junior Lightweights,3,Teruo Kosaka
1964,Junior Lightweights,4,Love Allotey
1964,Junior Lightweights,5,Jose Luis Cruz
1964,Junior Lightweights,6,Ray Adigun
1964,Junior Lightweights,7,Kang Il Suh
1964,Junior Lightweights,8,Vicente Milan Derado
1964,Junior Lightweights,9,Danny Valdez
1964,Junior Lightweights,10,Levi Madi
1964,Featherweights,1,Ismael Laguna
1964,Featherweights,2,Sugar Ramos
1964,Featherweights,3,Floyd Robertson
1964,Featherweights,4,Mitsunori Seki
1964,Featherweights,5,Don Johnson
1964,Featherweights,6,Howard Winstone
1964,Featherweights,7,Raul Rojas
1964,Featherweights,8,Carlos Ruben Canete
1964,Featherweights,9,Antonio Herrera
1964,Featherweights,10,Rafiu King
1964,Bantamweights,1,Fighting Harada
1964,Bantamweights,2,Jose Medel
1964,Bantamweights,3,Jesus Pimentel
1964,Bantamweights,4,Manuel Barrios
1964,Bantamweights,5,Bernardo Caraballo
1964,Bantamweights,6,Ronnie Jones
1964,Bantamweights,7,Risto Luukkonen
1964,Bantamweights,8,Felix Said Brami
1964,Bantamweights,9,Ray Asis
1964,Bantamweights,10,Johnny Caldwell
1964,Flyweights,1,Salvatore Burruni
1964,Flyweights,2,Hiroyuki Ebihara
1964,Flyweights,3,Alacran Efren Torres
1964,Flyweights,4,Horacio Enrique Accavallo
1964,Flyweights,5,Rocky Gattellari
1964,Flyweights,6,Tsuyoshi Nakamura
1964,Flyweights,7,Raton Mojica
1964,Flyweights,8,Katsuyoshi Takayama
1964,Flyweights,9,Walter McGowan
1964,Flyweights,10,Bob Allotey
1965,Heavyweights,1,Ernie Terrell
1965,Heavyweights,2,Floyd Patterson
1965,Heavyweights,3,George Chuvalo
1965,Heavyweights,4,Karl Mildenberger
1965,Heavyweights,5,Zora Folley
1965,Heavyweights,6,Amos Lincoln
1965,Heavyweights,7,Thad Spencer
1965,Heavyweights,8,Doug Jones
1965,Heavyweights,9,Hubert Hilton
1965,Heavyweights,10,Brian London
1965,Light Heavyweights,1,Wayne Thornton
1965,Light Heavyweights,2,Mauro Mina
1965,Light Heavyweights,3,Bob Foster
1965,Light Heavyweights,4,Gregorio Manuel Peralta
1965,Light Heavyweights,5,Roger Rouse
1965,Light Heavyweights,6,Eddie Cotton
1965,Light Heavyweights,7,Carl (Bobo) Olson
1965,Light Heavyweights,8,Willie Pastrano
1965,Light Heavyweights,9,Giulio Rinaldi
1965,Light Heavyweights,10,Gert Van Heerden
1965,Middleweights,1,Nino Benvenuti
1965,Middleweights,2,Joey Archer
1965,Middleweights,3,Joey Giardello
1965,Middleweights,4,Gomeo Brennan
1965,Middleweights,5,Rubin Carter
1965,Middleweights,6,Luis Folledo
1965,Middleweights,7,Sandro Mazzinghi
1965,Middleweights,8,Don Fullmer
1965,Middleweights,9,Jose Monon Gonzalez
1965,Middleweights,10,Stan Harrington
1965,Welterweights,1,Luis Manuel Rodriguez
1965,Welterweights,2,Manuel Gonzalez
1965,Welterweights,3,Willie Ludick
1965,Welterweights,4,Brian Curvis
1965,Welterweights,5,Curtis Cokes
1965,Welterweights,6,Fortunato Manca
1965,Welterweights,7,Ted Whitfield
1965,Welterweights,8,Billy Collins
1965,Welterweights,9,Eddie Pace
1965,Welterweights,10,Rodolfo Marshall
1965,Junior Welterweights,1,Jose Napoles
1965,Junior Welterweights,2,Adolph Pruitt
1965,Junior Welterweights,3,Eddie Perkins
1965,Junior Welterweights,4,Juan Sombrita
1965,Junior Welterweights,5,Piero Brandi
1965,Junior Welterweights,6,Johnny Santos
1965,Junior Welterweights,7,Paul Fujii
1965,Junior Welterweights,8,Sandro Lopopolo
1965,Junior Welterweights,9,Pedro Adigue Jr.
1965,Junior Welterweights,10,Makoto Watanabe
1965,Lightweights,1,Ismael Laguna
1965,Lightweights,2,Nicolino Locche
1965,Lightweights,3,Paul Armstead
1965,Lightweights,4,Angel (Robinson) Garcia
1965,Lightweights,5,Frankie Narvaez
1965,Lightweights,6,Bunny Grant
1965,Lightweights,7,Maurice Cullen
1965,Lightweights,8,Sugar Ramos
1965,Lightweights,9,Ray Adigun
1965,Lightweights,10,Franco Brondi
1965,Junior Lightweights,1,Johnny Bizzarro
1965,Junior Lightweights,2,Love Allotey
1965,Junior Lightweights,3,Teruo Kosaka
1965,Junior Lightweights,4,Carlos Teo Cruz
1965,Junior Lightweights,5,Kid Tano
1965,Junior Lightweights,6,Vicente Milan Derado
1965,Junior Lightweights,7,Kang Il Suh
1965,Junior Lightweights,8,Danny Valdez
1965,Junior Lightweights,9,Alfonso Frazer
1965,Junior Lightweights,10,Rene Barrientos
1965,Featherweights,1,Richard Sue
1965,Featherweights,2,Carlos Ruben Canete
1965,Featherweights,3,Mitsunori Seki
1965,Featherweights,4,Howard Winstone
1965,Featherweights,5,Ricardo Moreno
1965,Featherweights,6,Floyd Robertson
1965,Featherweights,7,Raul Rojas
1965,Featherweights,8,Hiroshi Kobayashi
1965,Featherweights,9,Rokuro Ishiyama
1965,Featherweights,10,Yves Desmarets
1965,Bantamweights,1,Eder Jofre
1965,Bantamweights,2,Jesus Pimentel
1965,Bantamweights,3,Jose Medel
1965,Bantamweights,4,Bernardo Caraballo
1965,Bantamweights,5,Alan Rudkin
1965,Bantamweights,6,Manny Elias
1965,Bantamweights,7,Tommaso Galli
1965,Bantamweights,8,Mimoun Ben Ali
1965,Bantamweights,9,Manuel Barrios
1965,Bantamweights,10,Baby Lorona
1965,Flyweights,1,Hiroyuki Ebihara
1965,Flyweights,2,Horacio Enrique Accavallo
1965,Flyweights,3,Katsuyoshi Takayama
1965,Flyweights,4,Pone Kingpetch
1965,Flyweights,5,Rocky Gattellari
1965,Flyweights,6,Wittayanoi Singhyodfah
1965,Flyweights,7,Puntip Keosuriya
1965,Flyweights,8,Kiyoshi Tanabe
1965,Flyweights,9,Alacran Efren Torres
1965,Flyweights,10,Walter McGowan
1966,Heavyweights,1,Ernie Terrell
1966,Heavyweights,2,Zora Folley
1966,Heavyweights,3,Thad Spencer
1966,Heavyweights,4,Floyd Patterson
1966,Heavyweights,5,Karl Mildenberger
1966,Heavyweights,6,Joe Frazier
1966,Heavyweights,7,Oscar Bonavena
1966,Heavyweights,8,George Chuvalo
1966,Heavyweights,9,Johnny Persol
1966,Heavyweights,10,Manuel Ramos
1966,Light Heavyweights,1,Jose Torres
1966,Light Heavyweights,2,Roger Rouse
1966,Light Heavyweights,3,Eddie Cotton
1966,Light Heavyweights,4,Piero Del Papa
1966,Light Heavyweights,5,Andres Antonio Selpa
1966,Light Heavyweights,6,Don Fullmer
1966,Light Heavyweights,7,Bob Dunlop
1966,Light Heavyweights,8,Gregorio Manuel Peralta
1966,Light Heavyweights,9,Carl (Bobo) Olson
1966,Light Heavyweights,10,Giovanni Biancardi
1966,Middleweights,1,Sandro Mazzinghi
1966,Middleweights,2,Dick Tiger
1966,Middleweights,3,Nino Benvenuti
1966,Middleweights,4,Luis Folledo
1966,Middleweights,5,Ki Soo Kim
1966,Middleweights,6,Ferd Hernandez
1966,Middleweights,7,Jose Monon Gonzalez
1966,Middleweights,8,Joey Archer
1966,Middleweights,9,Stan Harrington
1966,Middleweights,10,Johnny Pritchett
1966,Welterweights,1,Jean Josselin
1966,Welterweights,2,Luis Manuel Rodriguez
1966,Welterweights,3,Willie Ludick
1966,Welterweights,4,Conny Rudhoff
1966,Welterweights,5,Gypsy Joe Harris
1966,Welterweights,6,Ernie Lopez
1966,Welterweights,7,Francois Pavilla
1966,Welterweights,8,Charlie Shipes
1966,Welterweights,9,Leroy Roberts
1966,Welterweights,10,Ted Whitfield
1966,Junior Welterweights,1,Paul Fujii
1966,Junior Welterweights,2,Willy Quatuor
1966,Junior Welterweights,3,Daniel Guanin
1966,Junior Welterweights,4,Eugenio Espinoza
1966,Junior Welterweights,5,Juan Sombrita
1966,Junior Welterweights,6,Jose Napoles
1966,Junior Welterweights,7,Marcel Cerdan Jr.
1966,Junior Welterweights,8,Lennox Beckles
1966,Junior Welterweights,9,Paul Armstead
1966,Junior Welterweights,10,Herbie Lee
1966,Lightweights,1,Nicolino Locche
1966,Lightweights,2,Carlos Teo Cruz
1966,Lightweights,3,Maurice Cullen
1966,Lightweights,4,Borge Krogh
1966,Lightweights,5,Ismael Laguna
1966,Lightweights,6,Angel (Robinson) Garcia
1966,Lightweights,7,Frankie Narvaez
1966,Lightweights,8,George Foster
1966,Lightweights,9,Sugar Ramos
1966,Lightweights,10,Ray Adigun
1966,Junior Lightweights,1,Jose Legra
1966,Junior Lightweights,2,Pedro Gomez
1966,Junior Lightweights,3,Johnny Famechon
1966,Junior Lightweights,4,Antonio Amaya
1966,Junior Lightweights,5,Love Allotey
1966,Junior Lightweights,6,Kang Il Suh
1966,Junior Lightweights,7,Ray Echevarria
1966,Junior Lightweights,8,Jean de Keers
1966,Junior Lightweights,9,Rene Barrientos
1966,Junior Lightweights,10,Kid Tano
1966,Featherweights,1,Carlos Ruben Canete
1966,Featherweights,2,Raul Rojas
1966,Featherweights,3,Mitsunori Seki
1966,Featherweights,4,Howard Winstone
1966,Featherweights,5,Freddie Rengifo
1966,Featherweights,6,Richard Sue
1966,Featherweights,7,Hiroshi Kobayashi
1966,Featherweights,8,Bobby Valdez
1966,Featherweights,9,Alex Benitez
1966,Featherweights,10,Mario Diaz
1966,Bantamweights,1,Jesus Pimentel
1966,Bantamweights,2,Mimoun Ben Ali
1966,Bantamweights,3,Alan Rudkin
1966,Bantamweights,4,Bernardo Caraballo
1966,Bantamweights,5,Jose Medel
1966,Bantamweights,6,Lionel Rose
1966,Bantamweights,7,Katsuo Saito
1966,Bantamweights,8,Waldemiro Pinto
1966,Bantamweights,9,Yoshio Nakane
1966,Bantamweights,10,Kamara Diop
1966,Flyweights,1,Walter McGowan
1966,Flyweights,2,Horacio Enrique Accavallo
1966,Flyweights,3,Katsuyoshi Takayama
1966,Flyweights,4,Salvatore Burruni
1966,Flyweights,5,Kiyoshi Tanabe
1966,Flyweights,6,Hiroyuki Ebihara
1966,Flyweights,7,Puntip Keosuriya
1966,Flyweights,8,Alacran Efren Torres
1966,Flyweights,9,Rocky Gattellari
1966,Flyweights,10,Rene Libeer
1967,Heavyweights,1,Joe Frazier
1967,Heavyweights,2,Thad Spencer
1967,Heavyweights,3,Jimmy Ellis
1967,Heavyweights,4,Manuel Ramos
1967,Heavyweights,5,Jerry Quarry
1967,Heavyweights,6,Oscar Bonavena
1967,Heavyweights,7,Floyd Patterson
1967,Heavyweights,8,Eduardo Corletti
1967,Heavyweights,9,Karl Mildenberger
1967,Heavyweights,10,Ernie Terrell
1967,Light Heavyweights,1,Bob Foster
1967,Light Heavyweights,2,Gregorio Manuel Peralta
1967,Light Heavyweights,3,Bob Dunlop
1967,Light Heavyweights,4,Roger Rouse
1967,Light Heavyweights,5,Piero Del Papa
1967,Light Heavyweights,6,Eddie Cotton
1967,Light Heavyweights,7,Eddie Jones
1967,Light Heavyweights,8,Roger Russell
1967,Light Heavyweights,9,Lothar Stengel
1967,Light Heavyweights,10,Jack Rodgers
1967,Middleweights,1,Luis Manuel Rodriguez
1967,Middleweights,2,Nino Benvenuti
1967,Middleweights,3,Sandro Mazzinghi
1967,Middleweights,4,Don Fullmer
1967,Middleweights,5,Freddie Little
1967,Middleweights,6,Ferd Hernandez
1967,Middleweights,7,Ki Soo Kim
1967,Middleweights,8,Luis Folledo
1967,Middleweights,9,Tom Bogs
1967,Middleweights,10,Juan Carlos Duran
1967,Welterweights,1,Ernie Lopez
1967,Welterweights,2,Gypsy Joe Harris
1967,Welterweights,3,Willie Ludick
1967,Welterweights,4,Jose Napoles
1967,Welterweights,5,Joe Shaw
1967,Welterweights,6,Carmelo Bossi
1967,Welterweights,7,Conny Rudhoff
1967,Welterweights,8,Jean Josselin
1967,Welterweights,9,Charlie Shipes
1967,Welterweights,10,Ramon La Cruz
1967,Junior Welterweights,1,Nicolino Locche
1967,Junior Welterweights,2,Eddie Perkins
1967,Junior Welterweights,3,Johann Orsolics
1967,Junior Welterweights,4,Rodrigo Valdez
1967,Junior Welterweights,5,Percy Pugh
1967,Junior Welterweights,6,Marcel Cerdan Jr.
1967,Junior Welterweights,7,Juan Sombrita
1967,Junior Welterweights,8,Koji Okano
1967,Junior Welterweights,9,Willy Quatuor
1967,Junior Welterweights,10,Domingo Barrera Corpas
1967,Lightweights,1,Ismael Laguna
1967,Lightweights,2,Carlos Teo Cruz
1967,Lightweights,3,Borge Krogh
